year,country,region,avg_temperature_c,rainfall_mm,drought_index,flood_risk_score,heatwave_days,soil_moisture_percent,climate_risk_level
2028,Pakistan,South Asia,27.41,925.8,0.257,0.437,31,35.29,Moderate
2029,Pakistan,South Asia,26.66,659.4,0.603,0.363,32,21.5,Moderate
2030,Pakistan,South Asia,25.47,955.0,0.224,0.432,6,47.79,Moderate
2031,Pakistan,South Asia,26.69,694.1,0.338,0.281,14,17.92,Moderate
2032,Pakistan,South Asia,28.12,975.9,0.383,0.507,12,44.41,Moderate
2033,Pakistan,South Asia,26.25,1035.4,0.343,0.537,20,40.94,Moderate
2034,Pakistan,South Asia,28.19,718.7,0.579,0.319,34,27.78,Moderate
2035,Pakistan,South Asia,23.19,1004.1,0.0,0.464,25,45.63,Low
2036,Pakistan,South Asia,27.34,916.0,0.274,0.477,26,29.5,Moderate
2037,Pakistan,South Asia,26.47,981.5,0.324,0.375,36,32.83,Moderate
2038,Pakistan,South Asia,26.03,1153.5,0.021,0.464,11,57.55,Low
2039,Pakistan,South Asia,26.51,810.7,0.382,0.348,9,34.45,Moderate
2040,Pakistan,South Asia,24.04,729.4,0.343,0.348,15,24.19,Moderate
2041,Pakistan,South Asia,26.18,707.7,0.329,0.379,25,32.63,Moderate
2042,Pakistan,South Asia,26.89,719.5,0.426,0.478,24,17.49,Moderate
2043,Pakistan,South Asia,28.25,837.7,0.155,0.487,12,38.39,Moderate
2044,Pakistan,South Asia,25.87,904.6,0.166,0.439,20,34.65,Moderate
2045,Pakistan,South Asia,25.54,894.3,0.218,0.446,10,36.44,Moderate
2046,Pakistan,South Asia,25.93,982.3,0.095,0.411,27,47.5,Moderate
2047,Pakistan,South Asia,27.65,852.1,0.504,0.425,29,27.36,Moderate
2048,Pakistan,South Asia,26.96,1082.6,0.06,0.518,17,50.61,Moderate
2049,Pakistan,South Asia,25.95,807.7,0.285,0.43,17,40.71,Moderate
2050,Pakistan,South Asia,27.22,1285.2,0.053,0.576,17,59.73,Moderate
1961,India,South Asia,26.0,579.2,0.511,0.275,24,19.99,Moderate
1962,India,South Asia,23.66,1094.7,0.0,0.512,11,42.49,Moderate
1963,India,South Asia,25.67,824.7,0.187,0.528,21,36.02,Moderate
1964,India,South Asia,26.78,781.7,0.44,0.407,34,26.19,Moderate
1965,India,South Asia,22.11,688.1,0.227,0.427,11,23.84,Moderate
1966,India,South Asia,24.13,585.2,0.374,0.174,16,20.1,Moderate
1967,India,South Asia,25.8,981.7,0.19,0.512,10,56.07,Moderate
1968,India,South Asia,24.88,861.7,0.256,0.502,24,41.8,Moderate
1969,India,South Asia,25.59,643.6,0.377,0.328,25,21.22,Moderate
1970,India,South Asia,24.44,642.8,0.3,0.407,34,29.57,Moderate
1971,India,South Asia,25.28,796.3,0.311,0.357,17,41.99,Moderate
1972,India,South Asia,25.01,1117.0,0.0,0.671,20,61.4,Moderate
1973,India,South Asia,26.62,808.5,0.386,0.588,25,33.06,Moderate
1974,India,South Asia,25.54,609.5,0.305,0.276,33,20.49,Moderate
1975,India,South Asia,25.66,810.7,0.386,0.37,20,37.0,Moderate
1976,India,South Asia,24.78,806.4,0.301,0.519,20,36.67,Moderate
1977,India,South Asia,24.7,418.5,0.557,0.336,22,15.16,Moderate
1978,India,South Asia,24.79,841.3,0.317,0.379,19,39.54,Moderate
1979,India,South Asia,25.8,813.1,0.442,0.373,17,38.1,Moderate
1980,India,South Asia,24.84,961.4,0.236,0.458,20,40.13,Moderate
1981,India,South Asia,25.71,1145.8,0.0,0.465,29,65.2,Low
1982,India,South Asia,27.87,1030.3,0.155,0.442,19,49.59,Moderate
1983,India,South Asia,26.44,807.0,0.296,0.323,24,46.89,Moderate
1984,India,South Asia,25.02,673.0,0.373,0.275,13,22.06,Moderate
1985,India,South Asia,26.87,1261.7,0.084,0.628,34,71.83,Moderate
1986,India,South Asia,24.96,859.5,0.176,0.448,6,40.64,Moderate
1987,India,South Asia,23.02,852.2,0.157,0.55,8,35.56,Moderate
1988,India,South Asia,24.28,846.1,0.149,0.343,19,36.42,Low
1989,India,South Asia,23.26,881.7,0.084,0.52,26,40.48,Moderate
1990,India,South Asia,25.1,826.9,0.152,0.396,18,40.85,Moderate
1991,India,South Asia,25.56,758.2,0.263,0.375,16,35.79,Moderate
1992,India,South Asia,27.57,762.5,0.326,0.435,41,28.17,Moderate
1993,India,South Asia,25.97,844.8,0.217,0.333,10,37.75,Moderate
1994,India,South Asia,25.33,763.1,0.406,0.412,2,42.89,Moderate
1995,India,South Asia,26.61,735.9,0.329,0.381,27,40.59,Moderate
1996,India,South Asia,22.98,867.0,0.34,0.473,8,39.17,Moderate
1997,India,South Asia,25.93,809.2,0.358,0.428,13,33.53,Moderate
1998,India,South Asia,26.59,1090.6,0.165,0.742,29,51.95,Moderate
1999,India,South Asia,23.91,425.8,0.423,0.162,17,16.52,Moderate
2000,India,South Asia,27.07,1024.6,0.278,0.47,20,39.54,Moderate
2001,India,South Asia,26.13,1049.4,0.111,0.475,12,48.71,Moderate
2002,India,South Asia,25.24,518.3,0.502,0.215,26,5.87,Moderate
2003,India,South Asia,26.52,795.2,0.563,0.347,28,30.9,Moderate
2004,India,South Asia,28.5,790.6,0.453,0.49,28,34.36,Moderate
2005,India,South Asia,26.01,624.8,0.546,0.426,36,17.42,Moderate
2006,India,South Asia,26.11,725.5,0.331,0.317,13,39.1,Moderate
2007,India,South Asia,25.28,672.3,0.381,0.27,7,18.64,Moderate
2008,India,South Asia,24.83,1130.4,0.176,0.603,12,44.22,Moderate
2009,India,South Asia,26.86,999.7,0.179,0.456,24,47.76,Moderate
2010,India,South Asia,24.85,1053.4,0.235,0.577,20,54.25,Moderate
2011,India,South Asia,25.99,965.5,0.266,0.499,20,53.05,Moderate
2012,India,South Asia,25.34,669.4,0.344,0.213,22,23.83,Moderate
2013,India,South Asia,26.51,766.1,0.429,0.507,13,36.2,Moderate
2014,India,South Asia,26.35,928.3,0.332,0.608,34,39.53,Moderate
2015,India,South Asia,27.22,654.5,0.543,0.278,24,20.82,Moderate
2016,India,South Asia,25.38,964.1,0.055,0.451,29,52.41,Moderate
2017,India,South Asia,25.68,811.5,0.246,0.429,23,39.56,Moderate
2018,India,South Asia,24.85,790.0,0.258,0.422,22,24.87,Moderate
2019,India,South Asia,25.51,963.8,0.181,0.535,25,53.42,Moderate
2020,India,South Asia,26.51,921.1,0.317,0.621,27,47.99,Moderate
2021,India,South Asia,26.99,792.2,0.398,0.382,30,27.9,Moderate
2022,India,South Asia,24.99,1035.5,0.003,0.454,29,54.09,Low
2023,India,South Asia,27.16,677.0,0.505,0.228,27,26.72,Moderate
2024,India,South Asia,27.76,948.5,0.359,0.416,32,41.8,Moderate
2025,India,South Asia,26.65,944.9,0.302,0.47,23,37.9,Moderate
2026,India,South Asia,28.42,800.5,0.536,0.544,40,25.28,High
2027,India,South Asia,25.26,902.2,0.285,0.41,14,39.25,Moderate
2028,India,South Asia,24.71,649.8,0.408,0.343,32,31.36,Moderate
2029,India,South Asia,24.09,997.8,0.086,0.498,15,51.43,Moderate
2030,India,South Asia,28.04,820.4,0.283,0.505,16,33.14,Moderate
2031,India,South Asia,27.05,766.4,0.439,0.585,26,34.16,High
2032,India,South Asia,26.21,1017.8,0.2,0.466,17,29.8,Moderate
2033,India,South Asia,26.63,737.3,0.427,0.329,30,35.22,Moderate
2034,India,South Asia,24.96,624.6,0.3,0.396,13,14.8,Moderate
2035,India,South Asia,29.27,600.9,0.548,0.355,28,16.92,Moderate
2036,India,South Asia,26.51,947.0,0.333,0.621,8,33.97,Moderate
2037,India,South Asia,26.5,645.1,0.461,0.369,19,15.27,Moderate
2038,India,South Asia,27.26,1130.8,0.21,0.537,6,59.31,Moderate
2039,India,South Asia,26.98,516.9,0.582,0.306,12,11.4,Moderate
2040,India,South Asia,26.69,1121.4,0.136,0.649,30,55.43,Moderate
2041,India,South Asia,25.49,883.8,0.318,0.508,26,37.54,Moderate
2042,India,South Asia,27.02,834.5,0.314,0.458,28,38.31,Moderate
2043,India,South Asia,28.73,762.8,0.5,0.467,22,28.61,Moderate
2044,India,South Asia,28.11,913.9,0.316,0.55,27,31.68,Moderate
2045,India,South Asia,28.42,844.0,0.384,0.533,29,40.5,Moderate
2046,India,South Asia,25.92,1026.5,0.138,0.565,12,45.61,Moderate
2047,India,South Asia,25.36,868.3,0.266,0.421,32,28.76,Moderate
2048,India,South Asia,26.42,874.0,0.258,0.449,30,35.97,Moderate
2049,India,South Asia,26.65,791.8,0.467,0.492,22,39.25,Moderate
2050,India,South Asia,27.92,840.9,0.324,0.355,27,40.67,Moderate
1961,Bangladesh,South Asia,24.58,971.4,0.18,0.392,23,45.82,Moderate
1962,Bangladesh,South Asia,24.6,895.0,0.197,0.303,27,30.2,Low
1963,Bangladesh,South Asia,24.65,866.7,0.257,0.477,19,40.14,Moderate
1964,Bangladesh,South Asia,27.55,840.0,0.304,0.481,16,35.04,Moderate
1965,Bangladesh,South Asia,25.53,729.4,0.369,0.319,23,26.29,Moderate
1966,Bangladesh,South Asia,25.61,805.1,0.192,0.195,15,26.84,Low
1967,Bangladesh,South Asia,26.34,579.1,0.495,0.246,18,22.14,Moderate
1968,Bangladesh,South Asia,25.41,834.3,0.202,0.448,24,34.47,Moderate
1969,Bangladesh,South Asia,24.83,691.8,0.289,0.228,28,21.8,Moderate
1970,Bangladesh,South Asia,24.93,673.4,0.464,0.351,18,7.15,Moderate
1971,Bangladesh,South Asia,25.09,878.8,0.314,0.438,21,37.49,Moderate
1972,Bangladesh,South Asia,25.15,1072.7,0.14,0.583,33,61.47,Moderate
1973,Bangladesh,South Asia,26.09,996.9,0.105,0.508,24,57.71,Moderate
1974,Bangladesh,South Asia,25.3,598.7,0.412,0.222,40,18.96,Moderate
1975,Bangladesh,South Asia,26.13,691.7,0.51,0.442,26,20.78,Moderate
1976,Bangladesh,South Asia,25.17,1000.5,0.155,0.488,5,49.73,Moderate
1977,Bangladesh,South Asia,25.38,692.8,0.56,0.344,26,17.45,Moderate
1978,Bangladesh,South Asia,22.91,814.1,0.195,0.332,15,38.61,Moderate
1979,Bangladesh,South Asia,26.42,938.0,0.267,0.434,33,46.17,Moderate
1980,Bangladesh,South Asia,25.76,695.1,0.367,0.277,26,34.78,Moderate
1981,Bangladesh,South Asia,26.56,866.9,0.319,0.42,22,36.35,Moderate
1982,Bangladesh,South Asia,21.9,636.6,0.228,0.455,0,26.04,Moderate
1983,Bangladesh,South Asia,27.9,753.8,0.513,0.267,26,22.15,Moderate
1984,Bangladesh,South Asia,25.25,901.2,0.295,0.321,12,34.19,Moderate
1985,Bangladesh,South Asia,26.76,595.1,0.45,0.415,19,19.39,Moderate
1986,Bangladesh,South Asia,24.2,920.5,0.046,0.443,21,47.31,Low
1987,Bangladesh,South Asia,26.2,846.9,0.158,0.37,35,44.66,Moderate
1988,Bangladesh,South Asia,24.22,938.4,0.181,0.552,19,38.47,Moderate
1989,Bangladesh,South Asia,24.76,885.8,0.117,0.394,8,50.91,Moderate
1990,Bangladesh,South Asia,27.82,1068.3,0.056,0.68,31,50.67,Moderate
1991,Bangladesh,South Asia,25.31,870.0,0.275,0.489,29,37.87,Moderate
1992,Bangladesh,South Asia,25.82,781.3,0.532,0.352,16,23.94,Moderate
1993,Bangladesh,South Asia,26.62,869.6,0.309,0.607,22,22.74,Moderate
1994,Bangladesh,South Asia,26.19,936.9,0.307,0.42,22,46.0,Moderate
1995,Bangladesh,South Asia,25.79,857.8,0.283,0.488,15,41.64,Moderate
1996,Bangladesh,South Asia,26.07,856.5,0.284,0.452,27,35.46,Moderate
1997,Bangladesh,South Asia,28.53,737.7,0.573,0.473,28,25.82,High
1998,Bangladesh,South Asia,25.6,743.9,0.325,0.497,24,33.79,Moderate
1999,Bangladesh,South Asia,25.93,625.6,0.471,0.315,14,12.49,Moderate
2000,Bangladesh,South Asia,26.96,1129.9,0.167,0.505,21,49.99,Moderate
2001,Bangladesh,South Asia,27.05,651.0,0.434,0.362,30,28.64,Moderate
2002,Bangladesh,South Asia,27.16,739.1,0.51,0.315,22,19.24,Moderate
2003,Bangladesh,South Asia,26.52,735.1,0.387,0.529,37,30.77,Moderate
2004,Bangladesh,South Asia,24.4,993.2,0.05,0.508,14,40.52,Moderate
2005,Bangladesh,South Asia,27.75,802.8,0.457,0.372,29,33.8,Moderate
2006,Bangladesh,South Asia,24.43,1049.6,0.0,0.54,24,52.27,Moderate
2007,Bangladesh,South Asia,26.19,742.2,0.382,0.263,11,19.79,Moderate
2008,Bangladesh,South Asia,24.94,894.6,0.207,0.37,4,47.57,Moderate
2009,Bangladesh,South Asia,25.79,716.3,0.465,0.454,9,22.12,Moderate
2010,Bangladesh,South Asia,26.28,1193.2,0.099,0.544,32,52.81,Moderate
2011,Bangladesh,South Asia,26.29,660.0,0.441,0.246,18,25.39,Moderate
2012,Bangladesh,South Asia,26.42,899.6,0.344,0.493,43,44.99,Moderate
2013,Bangladesh,South Asia,27.87,951.4,0.425,0.571,23,32.97,Moderate
2014,Bangladesh,South Asia,26.5,916.2,0.315,0.516,24,39.88,Moderate
2015,Bangladesh,South Asia,25.68,820.4,0.299,0.49,33,37.61,Moderate
2016,Bangladesh,South Asia,27.15,829.2,0.26,0.354,41,40.42,Moderate
2017,Bangladesh,South Asia,27.44,857.0,0.274,0.315,42,38.42,Moderate
2018,Bangladesh,South Asia,24.55,826.5,0.213,0.533,27,34.86,Moderate
2019,Bangladesh,South Asia,26.76,1004.2,0.172,0.476,32,41.81,Moderate
2020,Bangladesh,South Asia,26.9,1203.7,0.07,0.582,29,59.29,Moderate
2021,Bangladesh,South Asia,25.72,760.8,0.347,0.487,27,24.66,Moderate
2022,Bangladesh,South Asia,27.75,630.8,0.579,0.36,22,5.0,Moderate
2023,Bangladesh,South Asia,25.94,835.9,0.294,0.454,15,38.53,Moderate
2024,Bangladesh,South Asia,26.28,1262.8,0.051,0.805,22,67.54,Moderate
2025,Bangladesh,South Asia,25.94,721.4,0.387,0.309,20,14.15,Moderate
2026,Bangladesh,South Asia,26.19,1112.3,0.0,0.63,18,49.55,Moderate
2027,Bangladesh,South Asia,24.87,1118.4,0.0,0.564,24,59.64,Moderate
2028,Bangladesh,South Asia,24.48,761.4,0.268,0.402,25,45.05,Moderate
2029,Bangladesh,South Asia,28.14,941.0,0.238,0.593,29,42.42,Moderate
2030,Bangladesh,South Asia,25.23,1110.5,0.116,0.596,31,48.84,Moderate
2031,Bangladesh,South Asia,25.07,789.3,0.412,0.438,10,30.13,Moderate
2032,Bangladesh,South Asia,23.69,817.4,0.298,0.495,13,43.15,Moderate
2033,Bangladesh,South Asia,25.53,756.9,0.319,0.349,14,27.6,Moderate
2034,Bangladesh,South Asia,24.73,687.6,0.464,0.277,3,20.3,Moderate
2035,Bangladesh,South Asia,28.3,746.1,0.494,0.289,28,24.53,Moderate
2036,Bangladesh,South Asia,27.56,654.2,0.484,0.17,25,17.31,Moderate
2037,Bangladesh,South Asia,25.54,855.5,0.217,0.592,32,39.17,Moderate
2038,Bangladesh,South Asia,29.09,726.8,0.511,0.275,36,35.87,Moderate
2039,Bangladesh,South Asia,27.58,887.4,0.314,0.426,18,40.02,Moderate
2040,Bangladesh,South Asia,26.03,601.1,0.486,0.278,36,18.82,Moderate
2041,Bangladesh,South Asia,23.44,902.9,0.14,0.476,24,40.6,Moderate
2042,Bangladesh,South Asia,29.21,983.4,0.358,0.557,36,32.63,Moderate
2043,Bangladesh,South Asia,24.81,531.0,0.496,0.334,16,21.93,Moderate
2044,Bangladesh,South Asia,24.52,909.8,0.271,0.408,9,39.6,Moderate
2045,Bangladesh,South Asia,27.74,1046.4,0.315,0.51,24,44.93,Moderate
2046,Bangladesh,South Asia,29.46,656.5,0.485,0.351,41,42.28,Moderate
2047,Bangladesh,South Asia,28.21,1117.6,0.008,0.539,43,57.52,Moderate
2048,Bangladesh,South Asia,27.24,917.0,0.382,0.587,38,33.7,Moderate
2049,Bangladesh,South Asia,27.3,737.2,0.329,0.408,21,27.72,Moderate
2050,Bangladesh,South Asia,27.63,841.1,0.363,0.479,17,41.69,Moderate
1961,Sri Lanka,South Asia,25.14,1027.1,0.275,0.557,11,51.64,Moderate
1962,Sri Lanka,South Asia,23.29,830.7,0.166,0.416,2,45.63,Moderate
1963,Sri Lanka,South Asia,26.14,502.4,0.491,0.216,17,15.82,Moderate
1964,Sri Lanka,South Asia,24.25,985.6,0.0,0.484,23,50.46,Low
1965,Sri Lanka,South Asia,27.32,764.3,0.276,0.375,33,29.0,Moderate
1966,Sri Lanka,South Asia,26.39,835.5,0.196,0.388,27,35.96,Moderate
1967,Sri Lanka,South Asia,24.57,903.1,0.205,0.431,23,44.75,Moderate
1968,Sri Lanka,South Asia,26.66,880.5,0.345,0.568,28,44.35,Moderate
1969,Sri Lanka,South Asia,25.23,963.5,0.047,0.527,14,46.41,Moderate
1970,Sri Lanka,South Asia,26.19,780.3,0.423,0.367,26,27.85,Moderate
1971,Sri Lanka,South Asia,25.76,932.1,0.184,0.522,27,42.93,Moderate
1972,Sri Lanka,South Asia,24.18,808.5,0.243,0.378,22,39.16,Moderate
1973,Sri Lanka,South Asia,24.44,968.2,0.26,0.578,26,34.56,Moderate
1974,Sri Lanka,South Asia,26.47,948.5,0.318,0.504,29,27.29,Moderate
1975,Sri Lanka,South Asia,24.85,700.3,0.321,0.342,21,25.3,Moderate
1976,Sri Lanka,South Asia,24.79,1023.8,0.037,0.548,26,43.13,Moderate
1977,Sri Lanka,South Asia,24.14,764.2,0.089,0.256,16,33.38,Low
1978,Sri Lanka,South Asia,25.81,979.3,0.134,0.4,14,45.4,Moderate
1979,Sri Lanka,South Asia,27.8,908.8,0.324,0.359,26,36.24,Moderate
1980,Sri Lanka,South Asia,24.06,1144.1,0.0,0.583,10,65.92,Moderate
1981,Sri Lanka,South Asia,25.39,814.2,0.277,0.546,14,37.13,Moderate
1982,Sri Lanka,South Asia,27.07,794.1,0.393,0.576,24,33.66,Moderate
1983,Sri Lanka,South Asia,25.3,846.9,0.242,0.474,13,41.24,Moderate
1984,Sri Lanka,South Asia,25.96,801.5,0.273,0.441,19,27.77,Moderate
1985,Sri Lanka,South Asia,24.16,978.0,0.123,0.345,1,52.68,Low
1986,Sri Lanka,South Asia,25.96,591.4,0.511,0.252,23,18.89,Moderate
1987,Sri Lanka,South Asia,25.24,681.4,0.288,0.278,19,32.33,Moderate
1988,Sri Lanka,South Asia,26.67,679.2,0.561,0.29,17,16.3,Moderate
1989,Sri Lanka,South Asia,26.93,1002.0,0.223,0.488,30,36.32,Moderate
1990,Sri Lanka,South Asia,28.63,1123.7,0.23,0.524,37,56.49,Moderate
1991,Sri Lanka,South Asia,26.24,833.3,0.373,0.258,9,36.46,Moderate
1992,Sri Lanka,South Asia,25.95,823.0,0.328,0.471,15,29.17,Moderate
1993,Sri Lanka,South Asia,25.81,861.2,0.352,0.345,15,30.81,Moderate
1994,Sri Lanka,South Asia,25.17,1035.9,0.142,0.537,11,55.72,Moderate
1995,Sri Lanka,South Asia,26.02,701.6,0.351,0.517,28,20.93,Moderate
1996,Sri Lanka,South Asia,25.28,888.1,0.258,0.371,18,49.1,Moderate
1997,Sri Lanka,South Asia,25.85,1006.0,0.082,0.301,19,43.25,Low
1998,Sri Lanka,South Asia,27.25,930.2,0.307,0.442,9,44.21,Moderate
1999,Sri Lanka,South Asia,24.48,880.3,0.192,0.528,22,38.2,Moderate
2000,Sri Lanka,South Asia,27.07,1010.2,0.215,0.662,15,49.82,Moderate
2001,Sri Lanka,South Asia,27.3,417.5,0.657,0.11,26,5.0,Moderate
2002,Sri Lanka,South Asia,25.6,958.5,0.045,0.519,23,46.05,Moderate
2003,Sri Lanka,South Asia,23.21,745.3,0.184,0.335,24,33.83,Moderate
2004,Sri Lanka,South Asia,25.04,557.1,0.462,0.27,8,12.61,Moderate
2005,Sri Lanka,South Asia,27.35,931.8,0.315,0.677,1,44.74,Moderate
2006,Sri Lanka,South Asia,25.78,1069.8,0.043,0.415,22,49.55,Low
2007,Sri Lanka,South Asia,24.63,828.0,0.341,0.434,32,33.2,Moderate
2008,Sri Lanka,South Asia,25.24,1002.5,0.077,0.539,29,42.62,Moderate
2009,Sri Lanka,South Asia,26.87,1108.0,0.23,0.641,26,35.43,Moderate
2010,Sri Lanka,South Asia,26.54,1060.4,0.204,0.538,19,47.8,Moderate
2011,Sri Lanka,South Asia,25.61,1112.4,0.034,0.581,27,69.41,Moderate
2012,Sri Lanka,South Asia,25.48,968.7,0.324,0.453,12,46.67,Moderate
2013,Sri Lanka,South Asia,25.47,862.1,0.162,0.453,24,39.75,Moderate
2014,Sri Lanka,South Asia,24.85,593.7,0.492,0.269,22,18.27,Moderate
2015,Sri Lanka,South Asia,27.91,810.6,0.497,0.455,36,30.74,Moderate
2016,Sri Lanka,South Asia,25.6,715.1,0.316,0.328,42,32.72,Moderate
2017,Sri Lanka,South Asia,27.47,1197.4,0.23,0.629,29,48.19,Moderate
2018,Sri Lanka,South Asia,27.85,821.9,0.386,0.409,23,40.07,Moderate
2019,Sri Lanka,South Asia,27.24,869.7,0.364,0.525,25,40.5,Moderate
2020,Sri Lanka,South Asia,25.54,938.2,0.228,0.465,6,46.66,Moderate
2021,Sri Lanka,South Asia,26.56,857.0,0.305,0.287,18,39.37,Moderate
2022,Sri Lanka,South Asia,26.07,1121.2,0.167,0.662,18,52.83,Moderate
2023,Sri Lanka,South Asia,25.03,750.4,0.379,0.303,14,33.97,Moderate
2024,Sri Lanka,South Asia,26.52,881.1,0.157,0.388,24,44.47,Moderate
2025,Sri Lanka,South Asia,24.74,731.2,0.419,0.318,11,26.06,Moderate
2026,Sri Lanka,South Asia,27.6,638.8,0.39,0.429,35,20.69,Moderate
2027,Sri Lanka,South Asia,25.63,752.1,0.427,0.205,20,29.68,Moderate
2028,Sri Lanka,South Asia,26.45,844.1,0.41,0.673,23,43.31,High
2029,Sri Lanka,South Asia,26.56,781.3,0.283,0.475,21,25.97,Moderate
2030,Sri Lanka,South Asia,25.93,739.2,0.336,0.387,23,21.44,Moderate
2031,Sri Lanka,South Asia,26.96,625.0,0.413,0.308,31,23.97,Moderate
